customer_id,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2
28245,,,,,,,14555.0,1.0,0 days 00:00:00.000000000
28412,,,,,,,2014.0,1.0,1 days 00:00:00.000000000
28523,,,,,,,2274.0,1.0,1 days 00:00:00.000000000
28584,2209.0,1.0,0 days 00:00:00.000000000,,,,,,
28621,,,,3466.0,1.0,0 days 00:00:00.000000000,,,
28805,2859.0,1.0,1 days 00:00:00.000000000,,,,,,
28914,1732.0,1.0,1 days 00:00:00.000000000,,,,,,
29124,2144.0,1.0,0 days 00:00:00.000000000,,,,,,
29269,,,,,,,6530.0,3.0,4 days 00:00:00.000000000
29563,6776.0,1.0,4 days 00:00:00.000000000,,,,,,
29619,2534.0,1.0,1 days 00:00:00.000000000,,,,,,
29627,6159.0,3.0,1 days 00:00:00.000000000,,,,,,
29684,13387.0,3.0,1 days 00:00:00.000000000,,,,,,
29704,,,,,,,1754.0,1.0,1 days 00:00:00.000000000
29885,4354.0,1.0,1 days 00:00:00.000000000,,,,,,
30453,,,,8052.0,2.0,5 days 00:00:00.000000000,,,
30499,,,,10587.0,1.0,4 days 00:00:00.000000000,,,
30578,,,,,,,1868.0,1.0,0 days 00:00:00.000000000
30671,2209.0,1.0,0 days 00:00:00.000000000,,,,,,
30752,,,,,,,2534.0,1.0,1 days 00:00:00.000000000
30922,,,,9617.0,1.0,2 days 00:00:00.000000000,,,
30923,,,,,,,21700.0,1.0,0 days 00:00:00.000000000
30963,2209.0,1.0,1 days 00:00:00.000000000,5653.0,2.0,2 days 00:00:00.000000000,,,
30990,,,,1884.0,1.0,0 days 00:00:00.000000000,,,
30995,2404.0,1.0,0 days 00:00:00.000000000,,,,,,
30999,1949.0,1.0,1 days 00:00:00.000000000,,,,,,
31136,,,,2664.0,1.0,1 days 00:00:00.000000000,1594.0,1.0,1 days 00:00:00.000000000
31316,,,,2209.0,1.0,1 days 00:00:00.000000000,2469.0,1.0,0 days 00:00:00.000000000
31412,,,,2029.0,1.0,1 days 00:00:00.000000000,1949.0,1.0,1 days 00:00:00.000000000
31449,2469.0,1.0,1 days 00:00:00.000000000,21951.0,2.0,2 days 00:00:00.000000000,,,
31583,,,,3834.0,1.0,1 days 00:00:00.000000000,,,
31960,7180.0,1.0,3 days 00:00:00.000000000,,,,,,
31994,,,,,,,11174.0,2.0,0 days 00:00:00.000000000
32005,,,,1884.0,1.0,1 days 00:00:00.000000000,,,
32189,,,,2596.0,1.0,1 days 00:00:00.000000000,,,
32390,13256.0,1.0,3 days 00:00:00.000000000,,,,,,
32581,,,,3448.0,1.0,0 days 00:00:00.000000000,,,
32661,,,,2506.0,1.0,1 days 00:00:00.000000000,,,
32718,,,,,,,1689.0,1.0,0 days 00:00:00.000000000
32772,,,,3507.0,1.0,0 days 00:00:00.000000000,,,
32837,4353.0,2.0,1 days 00:00:00.000000000,,,,,,
32986,1559.0,1.0,1 days 00:00:00.000000000,,,,,,
33021,2252.0,1.0,0 days 00:00:00.000000000,2924.0,1.0,0 days 00:00:00.000000000,,,
33086,,,,2794.0,1.0,1 days 00:00:00.000000000,,,
33092,,,,,,,2729.0,1.0,1 days 00:00:00.000000000
33193,2648.0,1.0,1 days 00:00:00.000000000,,,,,,
33288,2599.0,1.0,1 days 00:00:00.000000000,,,,,,
33359,3054.0,1.0,1 days 00:00:00.000000000,,,,,,
33493,6756.0,2.0,2 days 00:00:00.000000000,,,,5263.0,2.0,1 days 00:00:00.000000000
33558,,,,4360.0,1.0,2 days 00:00:00.000000000,1560.0,1.0,1 days 00:00:00.000000000
